tracking_id	enos_nn_db_pp_nt_0	enos_nn_db_pp_nt_1	enos_nn_db_pp_nt_2	enos_nn_db_pp_nt_3	enos_nn_db_pp_nt_4	enos_nn_db_pp_nt_5	enos_nn_db_pp_nt_6	enos_nn_db_pp_nt_7	enos_nn_db_pp_nt_8	enos_nn_db_pp_t_0	enos_nn_db_pp_t_1	enos_nn_db_pp_t_2	enos_nn_db_pp_t_3	enos_nn_db_pp_t_4	enos_nn_db_pp_t_5	enos_nn_db_pp_t_6
Col9a1	0	0.0145	0	0.0129	0	0	0.0116	0.0107	0	0	0	0.0214	0	0	0.014	0
Col9a2	0.0241	0.0209	0	0	0	0	0.0166	0.0154	0.0142	0	0	0.0307	0	0	0.0201	0.0161
Col9a3	0.1622	0.1007	0.0531	0.1427	0.1769	0.2239	0.1121	0.1634	0.1642	0.3602	0.1363	0.1184	0.2744	0	0.1355	0.3866
Colec10	0	0.0122	0.0215	0	0	0	0	0	0	0.0365	0	0	0	0	0	0
Colec11	0.7564	0.7481	0.3093	0.3505	0.1613	0.1946	0.3839	0.2592	0.5072	0.3482	0.2549	0.322	0.2657	0	0.2112	0.1686
Colec12	38.5523	44.217	36.7864	40.3399	34.865	36.9105	79.142	36.8888	58.4644	41.5473	25.2887	36.3219	37.6725	39.6165	31.0589	75.2821
Colq	0.0698	0.1214	0.6758	0.2687	0.533	0.4496	0.2895	0.2536	0.0687	0.1206	0.0782	0.1338	0.1837	0.1149	0.1555	0.0776
Commd1	46.0328	46.7176	52.2553	56.4372	68.7916	51.4695	53.2391	47.2878	49.9531	48.6861	51.6109	46.0022	56.0737	37.7703	51.8258	52.2261
Commd10	20.6266	21.6704	20.5082	27.0377	20.308	21.2541	26.1455	24.1559	24.7951	22.0292	18.9421	23.6523	22.8625	22.1357	20.8422	25.4325
Commd2	6.9995	5.7968	6.4559	7.0838	6.6327	7.1168	7.5281	7.0405	7.4159	6.623	7.3943	6.6315	6.7415	7.8635	7.4649	7.9944
Commd3	71.6379	57.3828	57.5375	61.2999	67.2653	59.3868	58.6633	69.6626	63.7891	66.1454	58.3421	59.695	65.2915	71.642	57.1943	60.5703
Commd4	41.4144	37.8624	38.5975	43.2147	40.671	37.9717	46.611	39.1375	45.1103	41.3886	39.9934	37.2982	46.7603	29.9974	41.048	43.4757
Commd5	12.4911	15.5363	13.3067	19.1151	17.121	16.5153	15.6843	14.3367	15.9276	13.7987	13.1383	13.7551	14.6828	14.5984	17.0424	14.8665
Commd6	27.1154	30.3582	29.0814	27.3247	32.2748	30.5996	36.9321	29.771	29.9315	28.9841	27.7725	26.4033	29.9102	35.2015	27.7439	37.484
Commd7	7.7061	6.9111	7.3586	9.137	6.939	8.0032	7.9064	8.5902	7.7778	7.9931	7.7555	8.5615	8.4185	8.525	7.2566	8.1856
Commd8	17.3307	13.179	13.7504	17.5647	14.6462	15.3036	15.5534	15.9504	15.1576	16.685	15.5251	16.3068	15.512	16.7478	14.2112	14.3094
Commd9	15.4422	23.5488	18.7337	18.5881	22.8927	19.1135	21.382	18.7287	22.9465	18.1847	18.3868	17.0903	21.5435	14.4066	21.069	23.1728
Comp	0.0548	0.0477	0.1259	0.1901	0.2271	0.106	0.1138	0.0352	0.0324	0.3079	0.0922	0.1402	0.018	0	0.2292	0.2563
Comt1	35.7428	34.2791	36.6299	44.8909	42.035	37.5045	34.473	31.9076	40.6529	37.848	38.9123	43.2049	41.3316	30.4432	44.1848	38.0189
Comtd1	1.3426	1.7399	1.7806	1.8854	2.5858	1.4413	2.3316	1.6082	2.2039	2.0615	2.5089	1.8872	2.9851	0.7934	2.3202	2.9885
Copa	51.7376	75.0141	66.7146	61.8183	70.8915	57.174	59.0909	53.4958	48.6259	52.2394	61.0537	57.231	59.5379	50.8706	56.5247	52.7129
Copb1	52.9709	54.6468	49.3027	53.2569	53.4306	51.2056	52.7003	51.8216	55.5151	58.0658	49.1631	54.2812	53.6971	59.6522	51.0873	54.9985
Copb2	44.7836	49.9613	46.5531	48.7644	51.7908	45.9215	47.833	46.8646	49.5248	51.8801	48.1359	49.2357	53.0042	52.4378	47.979	52.2741
Cope	89.9772	99.8489	87.9599	105.111	101.219	91.7546	110.241	94.2845	101.575	92.6327	92.9613	87.7696	98.2816	53.5332	101.58	113.736
Copg	40.901	39.1324	39.3939	39.2061	40.0572	38.7937	41.2493	39.7525	40.0374	42.0201	40.0994	40.9881	38.5144	37.0987	40.2034	42.8904
Copg2	16.8798	21.4403	17.2716	17.71	18.7478	15.7621	18.0174	16.6392	17.4748	18.2476	17.4717	20.5662	20.5496	25.7962	13.2256	18.8787
Cops2	32.612	28.8246	26.1614	29.731	29.5581	32.1778	30.9493	30.8543	32.2013	32.8261	25.6043	30.2838	28.5175	37.2941	27.4678	32.0564
Cops3	30.373	29.3217	29.3378	27.5471	32.7151	29.5587	30.8396	33.0031	32.7836	29.9414	27.5008	29.8447	30.0444	30.2795	30.7273	32.6963
Cops4	27.5346	32.3876	29.0897	32.504	31.3331	29.3247	30.6819	30.7455	31.1379	30.3819	28.1103	28.0588	31.1952	34.7399	28.4695	39.9852
Cops5	49.4584	59.1261	46.6523	52.9342	54.8748	53.3058	59.5205	47.3602	61.0481	51.7793	47.2718	47.7364	56.8649	57.8582	52.7693	60.1001
Cops6	65.5668	82.8412	67.3119	75.8801	86.8362	68.3511	78.111	68.3709	70.1539	70.0018	73.5652	69.5001	79.1307	63.3248	76.0958	82.3006
Cops7a	56.3572	62.9419	61.6962	60.4126	60.2799	57.9301	68.5269	61.2357	64.7629	55.2375	57.2367	58.3814	57.1041	41.8881	59.4522	74.2665
